T,FC,E,F,C
1,2,0.05,1.3,0.5
2,11,1,17.8,2.8
3,2,0.19,5,1
4,4,0.41,1.5,0.5
5,3,0.32,1.5,0.5
6,1,0.61,3,1
7,1,0.32,3,0.5
8,2,1.83,8,2.5
9,4,3.01,30,3
10,0,1.79,9,3
11,4,3.17,25,6
12,1,3.4,15,4
13,3,4.2,15,4
14,0,1.2,2,1
15,1,0.0531,4,1
16,1,0.0619,20,0
17,2,0.158,1,0.5
18,1,0.081,1,0.5
19,8,1.046,32,2
20,9,1.75,32,5
21,6,2.96,24,4.5
22,7,4.97,24,2.5
23,4,0.42,24,4
24,3,4.7,30,2
25,0,0.9,0,0
26,4,1.5,8,4
27,1,2,8,6
28,0,1.2,12,4
29,2,1.2,20,6
30,2,2.2,32,10
31,3,7.6,24,8
